objs,mean_curvature0,mean_curvature1,mean_curvature2,mean_curvature3,mean_curvature4,mean_curvature5,mean_curvature6,mean_curvature7,mean_curvature8,gaussian_curvature0,gaussian_curvature1,gaussian_curvature2,gaussian_curvature3,gaussian_curvature4,gaussian_curvature5,gaussian_curvature6,gaussian_curvature7,gaussian_curvature8,dihedral_angle0,dihedral_angle1,dihedral_angle2,dihedral_angle3,dihedral_angle4,dihedral_angle5,dihedral_angle6,dihedral_angle7,dihedral_angle8,defect0,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,gray0,gray1,gray2,gray3,gray4,gray5,gray6,gray7,gray8,gradient0,gradient1,gradient2,gradient3,gradient4,gradient5,gradient6,gradient7,gradient8
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_cn_sigma_20/subject_000_cn_sigma_20.obj,-0.178456896,7.656314358,6.628866026,1.386,7.657437014,1.385,0.024791664,0.983518512,1.016258128,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.944743376,0.90094902,7.50601094,10,2.143299715,10,-0.275792972,1.168606962,0.848119877,0.0206558,2.30879314,6.90911528,2.096,2.308875918,2.215,-0.191513583,1.121397761,0.883977519,30.88968009,53.45352385,3.949098662,10,8.271171919,1.118,1.220220182,0.444474015,2.125392197,39.76704161,28.10212227,5.329717251,2.531,48.69442296,1.096,0.460607335,0.686877969,1.324218534
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_cn_sigma_40/subject_000_cn_sigma_40.obj,-0.161361615,7.510502703,6.521227144,1.312,7.511297259,1.312,-0.003236226,1.002032611,0.997717032,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.942662072,0.901349987,7.506953188,10,2.141580131,10,-0.273608098,1.167226457,0.849278318,0.0206558,2.308364987,6.900383437,2.092,2.308447784,2.218,-0.196711713,1.12491905,0.881087769,37.44344914,52.92981979,4.416667573,10,9.125351664,1.239,0.935673241,0.51116361,1.772663641,76.09679014,47.54374852,5.926831728,4.955,89.72808567,1.661,0.373139729,0.768485354,1.247333602
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_cn_sigma_60/subject_000_cn_sigma_60.obj,0.0906006,7.709596587,6.632184099,1.323,7.709165229,1.325,0.024027318,0.983923662,1.015906398,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.940974983,0.901952098,7.507721713,10,2.140303531,10,-0.269526124,1.164446717,0.851242064,0.0206558,2.321630439,6.936122086,2.105,2.321712652,2.223,-0.188779335,1.119483157,0.885537074,43.97830027,53.40403625,4.685945618,10,9.441140127,1.532,0.741540213,0.586837348,1.549950967,111.4681468,66.87975683,6.245886525,7.756,129.9924973,1.904,0.336758892,0.79520989,1.219713551
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_cn_sigma_80/subject_000_cn_sigma_80.obj,0.237292818,7.55193673,6.601085107,1.33,7.554720267,1.333,0.026999637,0.981979457,1.017879107,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.940551975,0.900005347,7.508507495,10,2.139100122,10,-0.271174098,1.165574897,0.850455204,0.0206558,2.307040167,6.852085133,2.113,2.307123023,2.234,-0.190884988,1.121030677,0.884591465,50.41147643,54.78180328,4.849991508,10,9.586787537,1.957,0.624557,0.649803702,1.434532319,145.256397,84.55421342,6.525151357,10,168.0738988,2.087,0.306011675,0.815635158,1.197358326
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_gn_sigma_0.05/subject_000_gn_sigma_0.05.obj,-0.333265802,8.00600839,6.553628348,1.288,8.011941861,1.303,-0.066114285,1.044386397,0.956108436,0.05433894,0.563871397,3.288063861,0.2,0.566481265,0.2,0.588425349,0.16594015,2.511454732,1.943779799,0.901235737,7.506408952,10,2.142546031,10,-0.271732917,1.16585104,0.850081968,0.0228469,2.312848022,6.782820989,2.068,2.31295123,2.187,-0.194867358,1.123824566,0.881935483,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_gn_sigma_0.1/subject_000_gn_sigma_0.1.obj,0.157215382,6.990581609,6.663096691,1.405,6.991475585,1.403,-0.033503008,1.022079058,0.977934217,0.044325996,0.560875466,4.195581986,0.247,0.562621953,0.279,0.484753102,0.373391284,1.708987076,1.942953204,0.90133464,7.507002854,10,2.141837767,10,-0.272992979,1.166695671,0.849462335,0.0228469,2.314462121,6.845035329,2.106,2.314565244,2.226,-0.192103948,1.121741924,0.88370785,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_gn_sigma_0.15/subject_000_gn_sigma_0.15.obj,0.157734223,7.8016287,6.442407004,1.27,7.802248016,1.27,0.009709698,0.993372378,1.00640031,0.026162159,0.684375408,4.628820371,0.383,0.684872438,0.422,0.398788368,0.605399112,1.406588244,1.944453745,0.900487468,7.505966139,10,2.142842921,10,-0.275429799,1.168364719,0.848299661,0.0228469,2.316095569,6.863198512,2.075,2.316198606,2.197,-0.197430866,1.125505167,0.880547661,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_gn_sigma_0.2/subject_000_gn_sigma_0.2.obj,0.15010067,7.495751754,6.628844501,1.339,7.496317629,1.34,0.010912414,0.992644351,1.007140071,-0.016446895,0.844558272,5.269785885,0.564,0.844714883,0.578,0.205433795,0.82386699,1.173721527,1.94164841,0.902213553,7.507177011,10,2.141024421,10,-0.270514195,1.165099389,0.850746541,0.0228469,2.320934715,6.894916403,2.061,2.321037496,2.185,-0.200409969,1.127591225,0.878798868,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_jpeg_q_10/subject_000_jpeg_q_10.obj,0.117477277,7.869173557,6.495006112,1.252,7.869066806,1.256,0.031119005,0.979100562,1.020943995,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.939509862,0.901879791,7.508439713,10,2.138944458,10,-0.269091014,1.164208161,0.85150913,0.0206558,2.308276241,6.931857218,2.097,2.308359042,2.219,-0.193634061,1.12294691,0.882941329,24.55504316,55.41320864,1.418460426,10,4.861260205,1.171,1.286772572,0.428142305,2.183100979,3.555279506,18.3346214,0.595358799,0.2,18.67614345,0.282,1.234860038,0.193896615,3.562559413
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_jpeg_q_15/subject_000_jpeg_q_15.obj,0.151519667,7.445204095,6.721165538,1.383,7.445815231,1.384,0.00079571,0.9993528,1.000403739,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.943752615,0.901394481,7.506409677,10,2.142588148,10,-0.273148424,1.16678592,0.849371948,0.0206558,2.307608171,6.9624413,2.082,2.307691002,2.197,-0.189536167,1.120234651,0.885072299,26.01272929,54.70335771,1.550771328,10,5.778095416,1.161,1.313725757,0.424486084,2.219457198,3.747592762,18.41097988,0.810844582,0.2,18.7885234,0.288,1.050340165,0.20350822,3.014187239
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_jpeg_q_20/subject_000_jpeg_q_20.obj,-0.290432217,7.454539317,6.528850648,1.275,7.459263688,1.287,-0.052988582,1.035644573,0.964727739,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.942161354,0.902132941,7.506992277,10,2.14145565,10,-0.271493524,1.165765152,0.850274268,0.0206558,2.316005647,6.851445665,2.073,2.316088107,2.196,-0.195871285,1.124309668,0.881275952,24.54861122,55.38189212,1.685779039,10,5.50941385,1.169,1.303085073,0.427136621,2.204983143,3.864763784,18.31915139,0.957939239,0.2,18.72238465,0.292,0.947232037,0.210879536,2.71443338
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_jpeg_q_3/subject_000_jpeg_q_3.obj,0.053722851,7.303517799,6.559467976,1.328,7.30280241,1.329,-0.028102122,1.01851478,0.981128725,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.942509827,0.900049732,7.507358225,10,2.140895067,10,-0.270121784,1.164801705,0.85090486,0.0206558,2.314085065,6.884728738,2.095,2.314167609,2.221,-0.196760374,1.124848017,0.880989428,24.98216581,55.29448004,0.866916122,10,1.281576627,1.189,1.20269698,0.43361377,2.068692294,3.060875241,22.35327801,0.205264395,0.2,22.56186972,0.212,1.648239766,0.136931435,6.239064681
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_qp_level_6/subject_000_qp_level_6.obj,0.614939227,11.58915414,6.553571155,1.427,11.6040108,1.423,0.014888364,0.98998822,1.009558369,134.3535949,82.713727,6.192658616,5.66,157.7732299,1.649,0.39682984,0.761189302,1.270964711,1.941745149,0.900467078,7.506998054,10,2.140376817,10,-0.269507543,1.164355139,0.851172077,0.023432412,2.322447091,6.866217858,2.085,2.322555622,2.209,-0.197798943,1.125763646,0.880484522,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_qp_level_7/subject_000_qp_level_7.obj,0.003890872,8.099197512,6.542742949,1.373,8.098185984,1.373,-0.012222813,1.007969767,0.991803789,24.95296853,20.550419,5.539061293,1.56,32.32594686,1.565,0.488574941,0.702155104,1.334641632,1.942969336,0.901564029,7.506612525,10,2.141948942,10,-0.271127799,1.165450098,0.850384207,0.021415725,2.316583011,6.881768075,2.095,2.316672346,2.215,-0.191961824,1.12186592,0.883889993,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
/home/zyj/Projects/Digital_human/selected_distortion/subject_000_qp_level_8/subject_000_qp_level_8.obj,-0.185758637,7.599786306,6.606065355,1.288,7.601106431,1.294,-0.032027659,1.021580447,0.978760405,5.492971044,6.346957768,5.066371166,0.808,8.393823211,1.428,0.358576481,0.749026692,1.220081674,1.943222163,0.900245984,7.506840212,10,2.141623904,10,-0.272479532,1.166367093,0.849730412,0.020735203,2.308130093,6.894860798,2.085,2.308213612,2.208,-0.196076485,1.124573846,0.881419552,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
