objs,mean_curvature0,mean_curvature1,mean_curvature2,mean_curvature3,mean_curvature4,mean_curvature5,mean_curvature6,mean_curvature7,mean_curvature8,gaussian_curvature0,gaussian_curvature1,gaussian_curvature2,gaussian_curvature3,gaussian_curvature4,gaussian_curvature5,gaussian_curvature6,gaussian_curvature7,gaussian_curvature8,dihedral_angle0,dihedral_angle1,dihedral_angle2,dihedral_angle3,dihedral_angle4,dihedral_angle5,dihedral_angle6,dihedral_angle7,dihedral_angle8,defect0,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,gray0,gray1,gray2,gray3,gray4,gray5,gray6,gray7,gray8,gradient0,gradient1,gradient2,gradient3,gradient4,gradient5,gradient6,gradient7,gradient8
subject_000_cn_sigma_20,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_cn_sigma_40,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_cn_sigma_60,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_cn_sigma_80,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_gn_sigma_0.05,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_gn_sigma_0.1,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_gn_sigma_0.15,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_gn_sigma_0.2,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_jpeg_q_10,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
subject_000_jpeg_q_15,0.089489325,7.579650765,6.683491446,1.344,7.579231576,1.343,-0.007913257,1.005162214,0.994654735,0.044369402,0.463304777,2.585987764,0.2,0.465422573,0.2,0.903270815,0.118495817,3.719011794,1.945608695,0.899698106,7.50580083,10,2.143559567,10,-0.273571625,1.167061874,0.849156118,0.0206558,2.315180209,6.803338889,2.097,2.315262705,2.222,-0.194661378,1.123414981,0.882168684,24.54098344,55.36522508,1.851621371,10,5.291732655,1.17,1.298029526,0.427467799,2.19809772,4.138042008,18.0619789,1.608395448,0.2,18.529934,0.282,0.72064638,0.223757044,2.189659717
