objs,mean_curvature0,mean_curvature1,mean_curvature2,mean_curvature3,mean_curvature4,mean_curvature5,mean_curvature6,mean_curvature7,mean_curvature8,gaussian_curvature0,gaussian_curvature1,gaussian_curvature2,gaussian_curvature3,gaussian_curvature4,gaussian_curvature5,gaussian_curvature6,gaussian_curvature7,gaussian_curvature8,dihedral_angle0,dihedral_angle1,dihedral_angle2,dihedral_angle3,dihedral_angle4,dihedral_angle5,dihedral_angle6,dihedral_angle7,dihedral_angle8,defect0,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,gray0,gray1,gray2,gray3,gray4,gray5,gray6,gray7,gray8,gradient0,gradient1,gradient2,gradient3,gradient4,gradient5,gradient6,gradient7,gradient8
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_cn_sigma_20/00003_Rahel003_Basics_007_cn_sigma_20.obj,0.017333991,0.149381976,6.37247565,0.896,0.150380813,0.835,-0.09342096,1.071643743,0.932789516,1.143703938,3.743923163,3.186320221,0.246,3.914633813,0.522,1.265245831,0.317150915,2.577432014,0.202197564,0.204805245,5.85999022,0.975,0.287799115,1.172,0.661461244,0.592093533,1.49406233,0.349279991,1.060800048,5.008692412,0.284,1.116799065,0.666,1.426671218,0.355322792,2.646482846,79.55853105,53.12655701,5.134501243,10,10.14178431,10,0.055612598,0.967627339,1.032252334,61.45287754,43.68252476,5.865885179,2.474,75.39641021,0.851,0.463210536,0.655051089,1.339623161
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_cn_sigma_40/00003_Rahel003_Basics_007_cn_sigma_40.obj,0.017333991,0.149381976,6.37247565,0.896,0.150380813,0.835,-0.09342096,1.071643743,0.932789516,1.143703938,3.743923163,3.186320221,0.246,3.914633813,0.522,1.265245831,0.317150915,2.577432014,0.202197564,0.204805245,5.85999022,0.975,0.287799115,1.172,0.661461244,0.592093533,1.49406233,0.349279991,1.060800048,5.008692412,0.284,1.116799065,0.666,1.426671218,0.355322792,2.646482846,81.99331927,54.61134782,5.250954337,10,10.1551605,10,0.10760273,0.937878483,1.062918962,107.8465065,63.08799386,6.318391867,10,124.9438393,1.665,0.323257375,0.797202568,1.211895873
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_cn_sigma_60/00003_Rahel003_Basics_007_cn_sigma_60.obj,0.017333991,0.149381976,6.37247565,0.896,0.150380813,0.835,-0.09342096,1.071643743,0.932789516,1.143703938,3.743923163,3.186320221,0.246,3.914633813,0.522,1.265245831,0.317150915,2.577432014,0.202197564,0.204805245,5.85999022,0.975,0.287799115,1.172,0.661461244,0.592093533,1.49406233,0.349279991,1.060800048,5.008692412,0.284,1.116799065,0.666,1.426671218,0.355322792,2.646482846,85.17471313,57.0379173,5.316322678,10,10.17995429,6.124,0.161555408,0.907289353,1.096614148,150.1945756,84.25774524,6.628988223,10,172.214333,2.093,0.276582746,0.832408476,1.177314842
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_cn_sigma_80/00003_Rahel003_Basics_007_cn_sigma_80.obj,0.017333991,0.149381976,6.37247565,0.896,0.150380813,0.835,-0.09342096,1.071643743,0.932789516,1.143703938,3.743923163,3.186320221,0.246,3.914633813,0.522,1.265245831,0.317150915,2.577432014,0.202197564,0.204805245,5.85999022,0.975,0.287799115,1.172,0.661461244,0.592093533,1.49406233,0.349279991,1.060800048,5.008692412,0.284,1.116799065,0.666,1.426671218,0.355322792,2.646482846,88.70336461,59.85670367,5.359443113,10,10.18406599,4.549,0.180031902,0.895896127,1.108833391,186.3875815,101.9971774,6.781156481,10,212.4705915,2.285,0.248681665,0.850578203,1.157926752
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_gn_sigma_0.05/00003_Rahel003_Basics_007_gn_sigma_0.05.obj,0.006584166,0.175030928,6.06163023,0.945,0.175151222,0.948,-0.051263517,1.035726754,0.962226072,7.774671257,15.04488726,4.312102002,0.384,16.93473012,1.377,1.005503602,0.490358495,1.81956392,0.494568313,0.50104213,6.72513323,0.975,0.704014501,1.34,0.622368318,0.622693676,1.44942895,1.249141208,2.14328801,6.357142409,0.536,2.480696142,10,0.871252468,0.606897628,1.619342444,78.88606405,52.2782688,4.841003343,10,10.30738542,10,0.032837584,0.980691173,1.01885031,15.87387503,39.3103953,4.017825374,0.289,42.39441848,0.368,0.759888265,0.304116965,1.974963741
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_gn_sigma_0.10/00003_Rahel003_Basics_007_gn_sigma_0.10.obj,0.011077021,0.311899937,6.189845459,1.022,0.312090334,1.027,-0.0019262,1.001293292,0.998587061,4.602594797,9.034422244,5.318296636,0.416,10.13910236,1.176,0.86874053,0.504176397,1.6879445,0.905585918,0.763678011,7.294006075,1.465,1.184600878,3.032,0.473027319,0.737471161,1.308816895,1.249342731,2.236694173,6.878761078,0.741,2.56192463,10,0.669036539,0.682595711,1.460054142,78.88606405,52.2782688,4.841003343,10,10.30738542,10,0.032837584,0.980691173,1.01885031,15.87387503,39.3103953,4.017825374,0.289,42.39441848,0.368,0.759888265,0.304116965,1.974963741
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_gn_sigma_0.15/00003_Rahel003_Basics_007_gn_sigma_0.15.obj,0.009459379,0.414171717,6.292087167,1.19,0.414271437,1.196,0.012396738,0.991856916,1.008690008,3.06491037,6.04653369,5.714986026,0.507,6.778848106,1.151,0.737258856,0.555188225,1.564382494,1.182403924,0.862383066,7.488118953,2.251,1.463478705,7.235,0.285999325,0.84140565,1.175352056,1.249342731,2.372824884,6.999347519,1.015,2.681590908,5.518,0.450305516,0.771098799,1.300278559,78.88606405,52.2782688,4.841003343,10,10.30738542,10,0.032837584,0.980691173,1.01885031,15.87387503,39.3103953,4.017825374,0.289,42.39441848,0.368,0.759888265,0.304116965,1.974963741
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_gn_sigma_0.20/00003_Rahel003_Basics_007_gn_sigma_0.20.obj,-0.005920526,0.466231202,6.247612202,1.349,0.46625946,1.365,-0.067948991,1.046986131,0.957023395,2.437085249,4.860840871,6.007547331,0.638,5.437482194,1.201,0.592484335,0.633052999,1.43687829,1.375345232,0.902469782,7.557544065,3.566,1.644995818,10,0.139323709,0.920867784,1.082769841,1.249342731,2.498920177,7.13867818,1.33,2.793780472,3.812,0.281177614,0.848002859,1.183150216,78.88606405,52.2782688,4.841003343,10,10.30738542,10,0.032837584,0.980691173,1.01885031,15.87387503,39.3103953,4.017825374,0.289,42.39441848,0.368,0.759888265,0.304116965,1.974963741
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_jpeg_q_03/00003_Rahel003_Basics_007_jpeg_q_03.obj,0.017333991,0.149381976,6.37247565,0.896,0.150380813,0.835,-0.09342096,1.071643743,0.932789516,1.143703938,3.743923163,3.186320221,0.246,3.914633813,0.522,1.265245831,0.317150915,2.577432014,0.202197564,0.204805245,5.85999022,0.975,0.287799115,1.172,0.661461244,0.592093533,1.49406233,0.349279991,1.060800048,5.008692412,0.284,1.116799065,0.666,1.426671218,0.355322792,2.646482846,80.97442222,51.05890478,2.004863014,10,2.35664953,10,0.057178043,0.966500809,1.03294494,12.99832238,46.548111,0.758965697,0.211,48.32889928,0.454,1.446246494,0.278672373,3.061217771
/DATA/digital_human/alloy_humans/dis_objs/00003_Rahel003_Basics_007_jpeg_q_10/00003_Rahel003_Basics_007_jpeg_q_10.obj,0.017333991,0.149381976,6.37247565,0.896,0.150380813,0.835,-0.09342096,1.071643743,0.932789516,1.143703938,3.743923163,3.186320221,0.246,3.914633813,0.522,1.265245831,0.317150915,2.577432014,0.202197564,0.204805245,5.85999022,0.975,0.287799115,1.172,0.661461244,0.592093533,1.49406233,0.349279991,1.060800048,5.008692412,0.284,1.116799065,0.666,1.426671218,0.355322792,2.646482846,78.63690019,52.66543086,3.357623819,10,9.089326982,10,0.053315316,0.969249066,1.031204489,14.31762913,40.41294745,1.823787473,0.256,42.87423978,0.508,0.861675403,0.35021368,1.910664633
